en-US,es-ES,pt-PT,fr-FR,de-DE,nl-NL,ga-IE,ru-RU,he-IL,hi-IN,ja-JP,zh-CN
Senegal,Senegal,Senegal,Sénégal,Senegal,Senegal,An tSeineagáil,Сенегал,סנגל,सेनेगल,セネガル,塞内加尔
Serbia,Serbia,Sérvia e Montenegro,Serbie,Serbien,Servië,An tSeirbia,Сербия,סרביה ומונטנגרו,सर्बिया,セルビア,塞尔维亚
Seychelles,Seychelles,Seychelles,Seychelles,Seychellen,Seychellen,Na Séiséil,Сейшельские Острова,סיישל,सेशल्स,セーシェル,塞舌尔
Sierra Leone,Sierra Leona,Serra Leoa,Sierra Leone,Sierra Leone,Sierra Leone,Siarra Leon,Сьерра-Леоне,סיירה לאונה,सिएरा लियोन,シエラレオネ,塞拉利昂
Singapore,Singapur,Singapura,Singapour,Singapur,Singapore,Singeapór,Сингапур,סינגפור,सिंगापुर,シンガポール,新加坡
Sint Maarten,Sint Maarten,Sint Maarten,Saint-Martin,Sint Maarten,Sint Maarten,Sint Maarten,Синт-Мартен,סנט מארטן,सिंट मैरटेन,シント・マールテン,圣马丁
Slovakia,Eslovaquia,Eslováquia,Slovaquie,Slowakei,Slowakije,An tSlóvaic,Словакия,סלובקיה,स्लोवाकिया,スロバキア,斯洛伐克
Slovenia,Eslovenia,Eslovénia,Slovénie,Slowenien,Slovenië,An tSlóvéin,Словения,סלובניה,स्लोवेनिया,スロベニア,斯洛文尼亚
Solomon Islands,Islas Salomón,Ilhas Salomão,Îles Salomon,Salomonen,Salomonseilanden,Oileáin Sholomón,Соломоновы Острова,איי שלמה,सोलोमन द्वीप,ソロモン諸島,所罗门群岛
Somalia,Somalia,Somália,Somalie,Somalia,Somalië,An tSomáil,Сомали,סומליה,सोमालिया,ソマリア,索马里
South Africa,Sudáfrica,África do Sul,Afrique du Sud,Südafrika,Zuid-Afrika,An Afraic Theas,Южная Африка,דרום אפריקה,दक्षिण अफ़्रीका,南アフリカ,南非
South Korea,Corea del Sur,Coreia do Sul,Corée du Sud,Südkorea,Zuid-Korea,An Chóiré Theas,Южная Корея,דרום קוריאה,दक्षिण कोरिया,大韓民国,韩国
South Sudan,Sudán del Sur,Sudão do Sul,Soudan du Sud,Südsudan,Zuid-Soedan,An tSúdáin Theas,Южный Судан,דרום סודאן,दक्षिण सूडान,南スーダン,南苏丹
Spain,España,Espanha,Espagne,Spanien,Spanje,An Spáinn,Испания,ספרד,स्पेन,スペイン,西班牙
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Srí Lanca,Шри-Ланка,סרי לנקה,श्रीलंका,スリランカ,斯里兰卡
Sudan,Sudán,Sudão,Soudan,Sudan,Soedan,An tSúdáin,Судан,סודן,सूडान,スーダン,苏丹
Suriname,Suriname,Suriname,Suriname,Suriname,Suriname,An Suanach,Суринам,סורינאם,सूरीनाम,スリナム,苏里南
Sweden,Suecia,Suécia,Suède,Schweden,Zweden,An tSualainn,Швеция,שוודיה,स्वीडन,スウェーデン,瑞典
Switzerland,Suiza,Suíça,Suisse,Schweiz,Zwitserland,An Eilvéis,Швейцария,שוויץ,स्विट्ज़रलैंड,スイス,瑞士
Syria,Siria,Síria,Syrie,Syrien,Syrië,An tSiria,Сирия,סוריה,सीरिया,シリア,叙利亚
Taiwan,Taiwán,Taiwan,Taiwan,Taiwan,Taiwan,An Téaváin,Тайвань,טיוואן,ताइवान,台湾,台湾
Tajikistan,Tayikistán,Tajiquistão,Tadjikistan,Tadschikistan,Tadzjikistan,An Táidsíceastáin,Таджикистан,טג'יקיסטן,ताजिकिस्तान,タジキスタン,塔吉克斯坦
Tanzania,Tanzania,Tanzânia,Tanzanie,Tansania,Tanzania,An Tansáin,Танзания,טנזניה,तंज़ानिया,タンザニア,坦桑尼亚
Thailand,Tailandia,Tailândia,Thaïlande,Thailand,Thailand,An Téalainn,Таиланд,תאילנד,थाईलैंड,タイ,泰国
Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,Tíomór-Leste,Тимор-Лешти,טימור-לסטה,तिमया-लेस्ते,東ティモール,东帝汶
Togo,Togo,Togo,Togo,Togo,Togo,An Tóga,Того,טוגו,टोगो,トーゴ,多哥
Tokelau,Tokelau,Tokelau,Tokélaou,Tokelau,Tokelau,Tokelau,Токелау,טוקלאו,टोकेलाऊ,トケラウ,托克劳
Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,An Tonga,Тонга,טונגה,टोंगा,トンガ,汤加
Trinidad and Tobago,Trinidad y Tobago,Trindade e Tobago,Trinité-et-Tobago,Trinidad und Tobago,Trinidad enTobago,Oileán na Tríonóide agus Tobága,Тринидад и Тобаго,טרינידד וטובגו,त्रिनिदाद और टोबैगो,トリニダード・トバゴ,特立尼达和多巴哥
Tunisia,Túnez,Tunísia,Tunisie,Tunesien,Tunesië,An Túinéis,Тунис,טוניסיה,ट्यूनीशिया,チュニジア,突尼斯
Turkey,Turquía,Turquia,Turquie,Turkei,Turkije,An Tuirc,Турция,טורקיה,तुर्कस्तान,トルコ,土耳其
Turkmenistan,Turkmenistán,Turquemenistão,Turkménistan,Turkmenistan,Turkmenistan,An Tuircméanaitis,Туркменистан,טורקמניסטן,तुर्कमेनिस्तान,トルクメニスタン,土库曼斯坦
Turks and Caicos,Turcos y caicos,Turcos e Caicos,Turcs et Caïques,Turks- und Caicos -Phass,Turks- en Caicoseilanden,Turcaigh agus Caicos,Теркс и Кайкос,טורקס וקייקוס,तुर्क और कैकोस,タークス・カイコス諸島,特克斯和凯科斯群岛
Tuvalu,Tuvalu,Rio Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Тувалу,טובאלו,तुवालु।,ツバル,图瓦卢
Uganda,Uganda,Uganda,Ouganda,Uganda,Oeganda,Uganda,Уганда,אוגנדה,युगांडा,ウガンダ,乌干达
Ukraine,Ucrania,Ucrânia,Ukraine,Ukraine,Oekraïne,An Úcráin,Украина,אוקראינה,यूक्रेन,ウクライナ,乌克兰
United Arab Emirates,Emiratos Árabes Unidos,Emirados Árabes Unidos,Émirats arabes unis,Vereinigte Arabische Emirate,Verenigde Arabische Emiraten,Aontas na nÉimíríochtaí Arabacha,Объединённые Арабские Эмираты,איחוד האמירויות הערביות,संयुक्त अरब अमीरात,アラブ首長国連邦,阿拉伯联合酋长国
United Kingdom,Reino Unido,Reino Unido,Royaume-Uni,Vereinigtes Königreich,Verenigd Koninkrijk,An Ríocht Aontaithe,Великобритания,בריטניה,युनाइटेड किंगडम,英国,英国
United States,Estados Unidos,Estados Unidos,États-Unis,USA,Verenigde Staten,Ná Stáit Aontaithe,США,ארצות הברית,संयुक्त राज्य,米国,美国
Uruguay,Uruguay,Uruguai,Uruguay,Uruguay,Uruguay,Uragua,Уругвай,אורוגוואי,उरुग्वे,ウルグアイ,乌拉圭
Uzbekistan,Uzbekistán,Usbequistão,Ouzbékistan,Usbekistan,Oezbekistan,An Úisbéiceastáin,Узбекистан,אוזבקיסטן,उज़्बेकिस्तान,ウズベキスタン,乌兹别克斯坦
Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Вануату,ונואטו,वानुअतु,バヌアツ,瓦努阿图
Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Veiniséala,Венесуэла,ונצואלה,वेनेज़ुएला,ベネズエラ,委内瑞拉
Vietnam,Vietnam,Vietname,Viêt Nam,Vietnam,Vietnam,Vítneam,Вьетнам,וייטנאם,वियतनाम,ベトナム,越南
Wallis & Futuna,Wallis & Futuna,Wallis & Futuna,Wallis et Futuna,Wallis & Futuna,Wallis en Futuna,Wallis &amp; Futáin,Уоллис и Футуна,וואליס &amp; פוטונה,वालिस और फ्यूटुना,ウォリス・フトゥナ,瓦利斯 – 富图纳
Western Sahara,Sáhara Occidental,Sara Ocidental,Sahara occidental,Westsahara,Westelijke Sahara,An Sahára Thiar,Западная Сахара,סהרה המערבית,पश्चिमी सहारा,西サハラ,西撒哈拉
Yemen,Yemen,Iémen,Yémen,Jemen,Jemen,Éimin,Йемен,תימנית,यमन,イエメン,也门
Zambia,Zambia,Zâmbia,Zambie,Sambia,Zambia,An tSaimbia,Замбия,זמביה,ज़ाम्बिया,ザンビア,赞比亚
Zimbabwe,Zimbabue,Zimbabué,Zimbabwe,Zimbabwe,Zimbabwe,An tSiombáib,Зимбабве,זימבבואה,ज़िम्बाब्वे,ジンバブエ,津巴布韦
